Release Date,Filming Locations,original_index,unique_index
30 July 2006 (USA),"Lompoc, California, USA",389,389
24 April 2015 (USA),"New York City, New York, USA",390,390
22 March 1996 (USA),"Allegheny County, Pennsylvania, USA",391,391
26 January 1990 (Portugal),"Sevilla, Andalucía, Spain",392,392
16 October 2015 (USA),,393,393
14 August 1987 (USA),"3324 N. Christmas Avenue, Tucson, Arizona, USA",394,394
24 May 1991 (USA),"1152 S Wabash Ave, Chicago, Illinois, USA",395,395
30 September 1988 (USA),"Austin, Texas, USA",396,396
28 March 1986 (USA),"1382 Waverly Rd., Highland Park, Illinois, USA",397,397
6 July 1988 (USA),"340 N. Faring Rd. Los Angeles, California",398,398
27 February 1987 (USA),"Koi, former L'Ermitage Restaurant - 730 North La Cienega Boulevard, Los Angeles, California, USA",399,399
17 June 1988 (USA),"Yosemite National Park, California, USA",400,400
2 August 1985 (USA),"Black Lagoon, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",401,401
1 July 1987 (USA),"391 Filbert Street - San Francisco, California, USA",402,402
7 June 1991 (USA),"California, USA",403,403
13 February 1987 (USA),"Boscov's Camp Hill - 170 South 32nd Street, Camp Hill, Pennsylvania, USA",404,404
14 February 2014 (USA),"Syracuse, New York, USA",405,405
31 January 2014 (USA),"Manhattan, New York City, New York, USA",406,406
17 August 2007 (USA),"California State University Northridge - 18111 Nordhoff Street, Northridge, Los Angeles, California, USA",407,407
2 October 2009 (USA),"One Park Place B5, Atlanta, Georgia, USA",408,408
18 March 2011 (USA),"Rio Grande Gorge Bridge, Taos, New Mexico, USA",409,409
13 August 2008 (USA),"Santa Clarita, California, USA",410,410
6 August 2010 (USA),"9 Broadway, Manhattan, New York City, New York, USA",411,411
10 August 2012 (USA),"Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",412,412
29 February 2008 (USA),"Santa Clarita, California, USA",413,413
15 July 1998 (USA),"Baltimore, Maryland, USA",414,414
21 March 1997 (USA),"1004 Highland Street, South Pasadena, California, USA",415,415
22 December 1999 (USA),"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",416,416
4 October 2002 (USA),"4160 Country Club Drive, Long Beach, California, USA",417,417
19 October 2001 (USA),Czech Republic,418,418
22 May 1998 (USA),"Ambassador Hotel - 3400 Wilshire Boulevard, Los Angeles, California, USA",419,419
28 October 2011 (USA),"San Juan, Puerto Rico",420,420
19 July 2013 (USA),"Fore River Ship Yard, Quincy, Massachusetts, USA",421,421
25 January 2013 (USA),"Sächsische Schweiz, Saxony, Germany",422,422
18 May 2012 (USA),"Figueroa Hotel - 939 S. Figueroa Street, Downtown, Los Angeles, California, USA",423,423
29 July 2011 (USA),"Abiquiu, New Mexico, USA",424,424
22 July 2005 (USA),"Cook Bank Building, Rhyolite, Nevada, USA",425,425
"Nov 22, 2006 Wide","Castle Green Apartments - 99 S. Raymond, Pasadena, California, USA",426,426
15 February 2002 (USA),"Ajax, Ontario, Canada",427,427
21 September 1975 (USA),"New York, USA",428,428
25 December 2009 (USA),"Chatham Historic Dockyard, Chatham, Kent, England, UK",429,429
25 May 2012 (USA),"Bronx, New York City, New York, USA",430,430
1 June 1955 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",431,431
15 May 1959 (USA),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",432,432
June 1954 (USA),"George Air Force Base, Victorville, California, USA",433,433
5 October 1929 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",434,434
4 August 1932 (USA),"RKO-Pathé Studios - 9336 Washington Blvd., Culver City, California, USA",435,435
25 October 1991 (USA),"Bald Head Island, North Carolina, USA",436,436
22 September 1995 (USA),"Carson City, Nevada, USA",437,437
31 October 2011 (USA),"Santa Monica, California, USA",438,438
June 1954 (USA),"Guadalupe Canyon, Arizona, USA",439,439
9 November 1929 (USA),"Lone Pine, California, USA",440,440
16 April 1937 (USA),"Santa Clarita, California, USA",441,441
29 December 1933 (USA),"Hal Roach Studios - 8822 Washington Blvd., Culver City, California, USA",442,442
24 January 2009 (USA),"Huelva, Andalucía, Spain",443,443
10 May 1930 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",444,444
19 May 1929 (USA),,445,445
19 November 1932 (USA),"Bronson Caves, Bronson Canyon, Griffith Park - 4730 Crystal Springs Drive, Los Angeles, California, USA",446,446
27 May 1933 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",447,447
28 December 1936 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",448,448
4 September 1937 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",449,449
26 September 1941 (USA),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",450,450
25 March 1966 (USA),"Rome, Italy",451,451
31 October 1969 (West Germany),"Banning, California, USA",452,452
7 October 1966 (West Germany),"Bay St. Louis, Mississippi, USA",453,453
25 May 1967 (USA),"111 Waverly Place, Greenwich Village, Manhattan, New York City, New York, USA",454,454
16 May 1968 (USA),"190 Riverside Drive, Manhattan, New York City, New York, USA",455,455
10 April 1998 (USA),"Los Angeles, California, USA",456,456
2016 (USA),,457,457
1 June 1934 (USA),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",458,458
7 February 2008 (Germany),"Sable Ranch - 25933 Sand Canyon Road, Santa Clarita, California, USA",459,459
8 July 2009 (France),USA,460,460
18 November 1992 (USA),USA,461,461
5 January 1945 (USA),"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",462,462
27 September 1973 (USA),"Madison, New Jersey, USA",463,463
2 August 1978 (USA),"Hop Kiln Winery, Sonoma, California, USA",464,464
25 January 2002 (USA),"Echo Park, Los Angeles, California, USA",465,465
19 October 2001 (USA),"387 South Main Street, Los Angeles, California, USA",466,466
31 October 1949 (USA),"Hollywood, California, USA",467,467
2 October 1987 (USA),"Downtown, Los Angeles, California, USA",468,468
4 July 2008 (USA),"Los Angeles, California, USA",469,469
29 October 2013 (USA),"Los Angeles, California, USA",470,470
11 June 2013 (USA),"Los Angeles, California, USA",471,471
30 July 2004 (USA),"Jersey City, New Jersey, USA",472,472
13 November 1976 (Japan),"Arizona, USA",473,473
1 May 1987 (USA),"Goshen, Connecticut, USA",474,474
October 1986 (USA),"California, USA",475,475
3 March 1990 (Japan),"Bremen, Georgia, USA",476,476
6 October 2015 (USA),"13780 Rayen Street - Arleta, California, USA",477,477
24 December 2013 (USA),"Los Angeles, California, USA",478,478
18 October 2013 (USA),,479,479
5 January 2015 (USA),"San Francisco, California, USA",480,480
19 January 2007 (USA),"Beijing Film Studio, Beijing, China",481,481
March 1988 (West Germany),"Lake Mead, Nevada, USA",482,482
21 July 1989 (USA),"Bedford-Stuyvesant, Brooklyn, New York City, New York, USA",483,483
13 September 1995 (USA),"88th Precinct - 298 Classon Avenue, Fort Greene, Brooklyn, New York City, New York, USA",484,484
3 December 1999 (USA),"California, USA",485,485
24 April 1942 (USA),"Owens Lake, California, USA",486,486
July 1966 (UK),"Hotel d'Angleterre, Copenhagen, Denmark",487,487
3 February 2012 (USA),,488,488
18 June 2015 (USA),"Shreveport, Louisiana, USA",489,489
10 July 2015 (USA),"Louisiana, USA",490,490
29 July 2015 (USA),"Atlanta, Georgia, USA",491,491
24 July 2015 (USA),"North Carolina, USA",492,492
25 September 2015 (USA),"Charlotte, North Carolina, USA",493,493
14 August 2015 (USA),"Ossining, New York, USA",494,494
"Aug 28, 2015 Wide","Louisiana, USA",495,495
4 May 1951 (USA),"California, USA",496,496
6 April 2015 (USA),"Michigan, USA",497,497
8 September 2015 (USA),"Cincinnati, Ohio, USA",498,498
18 September 2015 (USA),"Utah, USA",499,499
7 August 2015 (USA),"San Francisco, California, USA",500,500
6 December 1991 (UK),,501,501
15 April 2011 (USA),"Ann Arbor, Michigan, USA",502,502
26 September 1959 (Japan),"Garces Highway 1/10th mile East from Corcoran Road and Kern National Wildlife Preserve, Kern County, California, USA",503,503
11 May 1984 (USA),"176 Elkwood Dr., Lake Lure, North Carolina, USA",504,504
27 March 1981 (USA),"Miami, Florida, USA",505,505
12 May 1949 (USA),"Metro-Goldwyn-Mayer Studios - 10202 W. Washington Blvd., Culver City, California, USA",506,506
19 November 2004 (USA),"Walt Disney Studios, 500 South Buena Vista Street, Burbank, California, USA",507,507
6 August 2004 (USA),"1912 N Cahuenga Boulevard, Los Angeles, USA",508,508
2 February 1972 (USA),"Pinewood Studios, Iver Heath, Buckinghamshire, England, UK",509,509
14 May 1982 (USA),"Almería, Andalucía, Spain",510,510
21 October 1983 (USA),"Chiapas, Mexico",511,511
14 September 2015 (USA),,512,512
12 February 1982 (USA),"Antigua, Guatemala",513,513
13 May 1978 (USA),"333 S La Cienega Blvd, Los Angeles, California, USA",514,514
31 October 1974 (USA),"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",515,515
18 October 1980 (USA),"High Street, Moorpark, California, USA",516,516
27 June 1973 (USA),"Atlanta, Georgia, USA",517,517
July 1982 (USA),Philippines,518,518
"May 29, 2005 Wide","Distillery District, Toronto, Ontario, Canada",519,519
17 April 1959 (Netherlands),"Amsterdam, Noord-Holland, Netherlands",520,520
19 February 1932 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",521,521
30 January 2009 (USA),"1230 East Linden Avenue, Linden, New Jersey, USA",522,522
18 January 1991 (UK),France,523,523
11 November 1939 (USA),"Stage 14, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",524,524
31 March 1934 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",525,525
13 August 1932 (USA),"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",526,526
28 April 1995 (USA),"New York City, New York, USA",527,527
18 January 1985 (USA),"Pflugerville, Texas, USA",528,528
11 June 1982 (USA),"7121 Lonzo Street, Tujunga, Los Angeles, California, USA",529,529
31 October 1962 (USA),"172 S. McCadden Pl., Hancock Park, Los Angeles, California, USA",530,530
24 February 1927 (France),"Cottage Grove, Oregon, USA",531,531
29 October 2004 (USA),"Lacy Street Production Center - 2630 Lacy Street, Los Angeles, California, USA",532,532
8 April 2008 (USA),Bulgaria,533,533
5 May 2000 (USA),"Ait Benhaddou, Morocco",534,534
2 February 2007 (Mexico),"Cleveland, Ohio, USA",535,535
15 April 2011 (USA),"Gotham, New York City, New York, USA",536,536
"Aug 15, 2003 Limited","White Stallion Ranch, Tucson, Arizona, USA",537,537
8 February 2002 (USA),"Belfast, Maine, USA",538,538
2 July 2003 (USA),,539,539
8 June 2012 (USA),,540,540
30 August 1952 (USA),"Pearl Harbor, O'ahu, Hawaii, USA",541,541
30 October 1961 (USA),"Castle Valley, Moab, Utah, USA",542,542
27 November 1968 (USA),"Conroe, Texas, USA",543,543
3 January 2003 (USA),"Nebraska, USA",544,544
12 May 2006 (USA),"Communications Center, Los Angeles City College - 855 North Vermont Avenue, Los Angeles, California, USA",545,545
1 October 1993 (USA),,546,546
31 January 1992 (USA),"Hansaviertel, Tiergarten, Berlin, Germany",547,547
2 August 1991 (USA),"Santa Clarita, California, USA",548,548
6 October 2015 (USA),,549,549
30 October 1981 (USA),"California, USA",550,550
10 April 1968 (USA),"Old Tucson Studios, Tucson, Arizona, USA",551,551
15 March 1965 (Denmark),"Sierra Madre del Sur, Mexico",552,552
28 October 1972 (Japan),"Athens, Tennessee, USA",553,553
December 1961 (USA),"San Francisco, California, USA",554,554
31 January 1953 (USA),"Bell Ranch, Santa Susana, California, USA",555,555
14 July 1999 (USA),"Screen Gems Studios - 1223 North 23rd Street, Wilmington, North Carolina, USA",556,556
11 December 1992 (USA),"Shepperton Studios, Shepperton, Surrey, England, UK",557,557
16 February 1996 (USA),"London, England, UK",558,558
13 July 1984 (USA),"Empire Stages of New York, Long Island City, Queens, New York City, New York, USA",559,559
22 June 1979 (USA),"Santa Clarita, California, USA",560,560
8 September 1980 (Denmark),"Cow Palace, San Francisco, California, USA",561,561
25 October 2008 (Japan),"Eel Pie Studios, Twickenham, Middlesex, England, UK",562,562
30 September 1988 (USA),"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",563,563
5 April 1991 (USA),"Bronx, New York City, New York, USA",564,564
,"Dublin, Ireland",565,565
17 July 1981 (USA),"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",566,566
22 April 1983 (USA),"Calexico, California, USA",567,567
25 November 1992 (USA),"10231 Charing Cross Road, Beverly Hills, California, USA",568,568
12 February 1999 (USA),"Bath, Maine, USA",569,569
"Feb 10, 2012 Wide","The Roastery Coffee House - 8 Pardee Avenue, Toronto, Ontario, Canada",570,570
17 March 2006 (USA),"British Columbia, Canada",571,571
6 February 2009 (USA),"Handy Market - 2514 W. Magnolia Boulevard, Burbank, California, USA",572,572
27 May 2016 (USA),"Montreal, Québec, Canada",573,573
21 November 1990 (USA),"Empire Studios, Rome, Lazio, Italy",574,574
14 September 2007 (USA),"183 Grand Street, New York City, New York, USA",575,575
May 1987 (USA),"Harlem, Manhattan, New York City, New York, USA",576,576
20 September 1996 (USA),"Cook Ranch, Galisteo, New Mexico, USA",577,577
9 April 2004 (USA),"13705 Ventura Blvd., Sherman Oaks, Los Angeles, California, USA",578,578
6 November 1998 (USA),"6th Street Bridge, Los Angeles, California, USA",579,579
"Feb 18, 2000 Wide","297 Rue Marcel-Giguère, Blainville, Québec, Canada",580,580
17 September 1993 (USA),"Hall of Justice - 211 W. Temple Street, Downtown, Los Angeles, California, USA",581,581
13 December 1991 (USA),"Qualcomm Stadium - 9449 Friars Road, San Diego, California, USA",582,582
18 November 2005 (USA),"Monumental sculpture 'Double Ascension' 1973 Herbert Bayer 505 South Flower St, Los Angeles, California USA",583,583
16 October 2009 (USA),"500 Cheyney Rd, Glen Mills, Pennsylvania, USA",584,584
18 December 1966 (USA),"77 Pottery Lane, Notting Hill, London, England, UK",585,585
10 November 2006 (USA),"John Hancock Center Condominium Owner's Entrance - 875 N Michigan Ave, Chicago, Illinois, USA",586,586
16 September 2011 (USA),"Saugus Speedway - 22500 Soledad Canyon Road, Saugus, California, USA",587,587
April 1970 (USA),"Chloride, Arizona, USA",588,588
15 February 1974 (USA),"Boston Common, Boston, Massachusetts, USA",589,589
20 March 1981 (USA),"Santa Barbara, California, USA",590,590
21 October 1971 (Argentina),"Central Park, Manhattan, New York City, New York, USA",591,591
29 April 1983 (USA),"Du-Par's Restaurant - 12036 Ventura Boulevard, Studio City, Los Angeles, California, USA",592,592
6 October 1978 (USA),"Durango, Mexico",593,593
3 July 2013 (USA),"Creede, Colorado, USA",594,594
10 February 2012 (USA),"Cape Town Film Studios, Cape Town, Western Cape, South Africa",595,595
5 December 1973 (USA),"5-7 Minetta Street, New York City, New York, USA",596,596
2 October 1992 (USA),"Restaurant, 1520 Sheepshead Bay Road, Brooklyn, New York, USA",597,597
2 March 2007 (USA),"4th Street, Downtown, Los Angeles, California, USA",598,598
1 April 2011 (USA),"Illinois, USA",599,599
2 July 1997 (USA),"Manhattan, New York City, New York, USA",600,600
3 March 1959 (USA),"London, England, UK",601,601
7 November 1954 (USA),"Los Angeles, California, USA",602,602
26 November 1958 (USA),Mexico,603,603
May 1953 (USA),"Durango, Colorado, USA",604,604
17 May 1952 (USA),"Motion Picture Center Studios, Hollywood, Los Angeles, California, USA",605,605
5 May 1946 (USA),"Wildwood Regional Park, Thousand Oaks, California, USA",606,606
17 September 1932 (USA),"48th Street, Los Angeles, California, USA",607,607
12 September 1970 (USA),"Chemainus, North Cowichan, British Columbia, Canada",608,608
18 May 1935 (USA),"The Lot - 1041 N. Formosa Avenue, West Hollywood, California, USA",609,609
20 December 1936 (USA),"Big Bear Lake, Big Bear Valley, San Bernardino National Forest, California, USA",610,610
25 December 1964 (Finland),"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",611,611
23 March 2007 (USA),"Los Angeles, California, USA",612,612
16 October 1975 (Argentina),"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",613,613
28 May 1971 (France),"Eugene, Oregon, USA",614,614
,"El Rey Theater - 5515 Wilshire Blvd., Los Angeles, California, USA",615,615
11 September 1987 (USA),"Atlanta, Georgia, USA",616,616
1 October 1971 (USA),"Manhattan, New York City, New York, USA",617,617
20 November 1968 (USA),"Paramount Studios - 5555 Melrose Avenue, Hollywood, Los Angeles, California, USA",618,618
15 March 2013 (USA),"Los Angeles, California, USA",619,619
25 September 2015 (USA),"Cheever Place, Carroll Gardens, Brooklyn, New York, USA",620,620
