article_pagination,author_list,original_index,unique_index
58-68 ST  - Exercise-induced changes of the upper extremity in chronic stroke survivors-,"{""P. Kluding"",""S. A. DA  - Winter DO  - 10.1310/let5-xnby-98q6-q8tg DP  - NLM ET  - 2005/03/01 Billinger""}",869,826
287-291,"{""G. Bauer"",""E. Laffaire"",""L. Bouzas"",""C. Gilli"",""L. Novali"",""S. P. Rodriguez"",""D. Farina"",""H. Gonzalez""}",870,827
e004623,"{""Thirimon Moe-Byrne"",""Duncan Chambers"",""Melissa Harden"",""Catriona McDaid""}",871,828
371-80; discussion 435-513,"{""K J Berkley""}",872,829
Cd001799,"{""M. Wang"",""G. Stewart"",""J. F. Tierney"",""G. Spilopoulos"",""W. Duncan"",""H. S. Hansen"",""Z. Rhugang"",""M. K. Parmar"",""A. Rousell"",""B. Launois"",""K. Nygaard"",""S. J. Arnott"",""M. Gignoux""}",873,830
6-May,"{""Axel Schindelhauer"",""Pauline Wimberger""}",874,831
643-50 ST  - Cost-utility analysis of osteopathy in primary care: results from a pragmatic randomized controlled trial-,"{""D. Russell"",""P. Linck"",""R. Hibbs"",""I. Russell"",""R. Muntz"",""N. H. Williams"",""B. C1  - Fr̴n RCT-șkningen CN  - Pubmed DA  - Dec DO  - 10.1093/fampra/cmh612 DP  - NLM ET  - 2004/11/09 Hounsome"",""R. T. Edwards"",""C. Wilkinson""}",875,832
138-52 ST  - The cost of depression-complicated alcoholism: health-care utilization and treatment effectiveness-,"{""E. M. CN  - PubMed DA  - Summer DP  - NLM ET  - 1993/07/01 Bohlig"",""J. A. Scott-Lennox"",""R. D. Lennox""}",876,833
,{NULL},877,46
507-18,"{""J M Cisler"",""T Mletzko"",""C D Kilts"",""S Tripathi"",""G A James"",""X P Hu"",""C Heim"",""C B Nemeroff"",""H S Mayberg""}",878,834
526,"{""L N Meurer""}",879,835
722-7,"{""T Fors̩n"",""J Eriksson"",""C Osmond"",""D Barker""}",880,836
646-666,"{""Albert K. K. Chung"",""Siew-eng Chua""}",881,837
,"{""P. Phanthunane"",""M. Bertram"",""H. Whiteford"",""T. Vos""}",882,838
146-160,"{""E Fujimaki""}",883,839
,"{""H. Shue""}",884,840
791-802,"{""S. Ewen"",""F. Mahfoud"",""M. Bohm""}",885,841
650-4,"{""O. Thuemer"",""S. G. Sakka"",""E. Huttemann""}",886,842
,"{""Adam Witkowski"",""Ajay K Jain"",""Ivan Casserly"",""David E Kandzari"",""David Deaton"",""Paul A Sobotka"",""John P Foran"",""Krishna J Rocha-Singh"",""Barry T Katzen"",""Peter Balmforth""}",887,843
e70858,"{""Zhigang Chen"",""Minyue Jia"",""Xiaoying Zhao"",""Xin He""}",888,844
153,"{""Anastasiou M"",""Tzortzopoulou A"",""Emexidis T"",""Koudouna E"",""Pouliou A"",""Vasilas N""}",889,845
391-398,"{""D. M. B. Hall"",""E. Holroyd""}",890,846
94-104,"{""M. A. Shah"",""S. F. Viegas"",""R. P. Morris"",""R. M. Patterson"",""D. Osada""}",891,847
63-71 ST  - Polycystic ovary syndrome (PCOS) and other androgen excess-related conditions: can changes in dietary intake make a difference?-,"{""A. Sengupta"",""D. DA  - Feb DO  - 23/1/63 [pii] DP  - Nlm ET  - 2008/01/22 Karsies"",""G. U. Liepa""}",892,848
1468-74,"{""Gerard H Koppelman"",""Johan C de Jongste"",""Liset E M Elstgeest"",""Henri��tte A Smit"",""Ulrike Gehring"",""Annemien Haveman-Nies"",""Marjan Kerkhof"",""Marga B M Bekkers"",""Alet H Wijga"",""Salome Scholtens""}",893,849
34-41 ST  - Shedding health risks with bariatric weight loss surgery-,"{""S. G. DB  - c8h DO  - 10.1097/01.NURSE.0000343454.35505.5a DP  - EBSCOhost Camden""}",894,850
427-35,"{""S. N. Pennington"",""I. A. Shibley""}",895,851
471-6,"{""G Villa"",""A Zoppi"",""G D Malamani"",""G Marasi"",""A Vanasia"",""R Fogari""}",896,852
"1347-53 ST  - Significantly higher adrenocorticotropin-stimulated cortisol and 17-hydroxyprogesterone levels in 337 consecutive, premenopausal, caucasian, hirsute patients compared with healthy controls-","{""C. Hagen"",""K. Brusgaard"",""M. DA  - Mar DO  - jc.2004-1214 [pii] 10.1210/jc.2004-1214 [doi] DP  - Nlm ET  - 2004/12/16 Andersen"",""A. P. Hermann"",""J. Hangaard"",""D. Glintborg""}",897,853
,{NULL},898,46
S50-5,"{""Norah J Shire"",""Guy W Neff"",""Steven M Rudich""}",899,854
74-82,"{""Demetrios J. Kutsogiannis"",""Neil K. Singla"",""Frances Chung"",""Stephen R. Lane"",""Jeremey Levin"",""Joseph V.J. Pergolizzi"",""Brendan Johnson"",""Linda Blackburn"",""Sonia K. Singla""}",900,855
495-503,"{""Steven P. Cohen"",""Giselle McKnight"",""Kayode A. Williams"",""Joshua Stream"",""Zahid H. Bajwa"",""Jan J. Kraemer"",""Robert W. Hurley"",""Anthony Dragovich"",""Anthony Sireci""}",901,856
255-63,"{""Demosthenes B Panagiotakos"",""Katherine Esposito"",""Christina-Maria Kastorini"",""Dario Giugliano""}",902,857
22-25,"{""S. Vernino"",""P.A. Low"",""P. Sandroni"",""K. Kimpinski"",""V. Iodice""}",903,858
625-31,"{""Erik E Suarez"",""Bridget N Fahy"",""Brian A Bruckner"",""Courtenay R Bruce"",""Nathan G Allen"",""Harvey L Gordon""}",904,859
58-69,"{""W. Sexauer"",""M. S. Kavuru"",""U. Vaid"",""K. Gaurav""}",905,860
,"{""Cynthia J. Carson""}",906,861
195-202,"{""How Lee"",""Greta G Cummings"",""Daniel Scott"",""E Denise Brown""}",907,862
16-Mar,"{""M. Heiden"",""E. Lyskov"",""M. Barnekow-Bergkvist"",""M. Nakata""}",908,863
4086-93,"{""Estela Derazne"",""Jeremy D Kark"",""Yaron Niv"",""Lital Keinan-Boker"",""Ari Shamiss"",""Irena Liphshitz"",""Arnon Afek"",""Dorit Tzur"",""Moshe Furman"",""Zohar Levi""}",909,864
14306-14311,"{""R. W. Nipper"",""C. Q. Doe"",""K. E. Prehoda"",""K. H. Siller"",""N. R. Smith""}",910,865
e1001835; discussion e1001835-e1001835; discussion e1001835,"{""Mehak Bhatia"",""Shaun K Morris"",""Prabhat Jha"",""Wilson Suraweera"",""Jayadeep Patra"",""Cyril Patra"",""Prakash C Gupta""}",911,866
244-233,"{""Ruth H. Striegel-Moore"",""Emilia Barzegarnazari"",""Fary M. Cachelin"",""Catherine Veisel""}",912,867
e734-41,"{""Roya Etemad-Rezai"",""Amir M Owrangi"",""Nabil Hussain"",""Jack Chiu"",""Andrew Lu"",""Brandon Entwistle"",""Grace Parraga""}",913,868
322-9,"{""G Spitaleri"",""L Adamoli"",""F Vecchio"",""F de Braud"",""C Catania"",""A Delmonte"",""F Toffalorio"",""T De Pas"",""C Noberasco"",""D Radice"",""A Goldhirsch""}",914,869
177-88,"{""T. Dovan"",""R. R. Neutra"",""D. A. Savitz"",""R. I. Kavet""}",915,870
,"{""N Black  Brazier, J. & Fitzpatrick, R.""}",916,871
813-20,"{""Tom Gromann"",""Roland Hetzer"",""Alexander Mladenow"",""Thorsten Drews"",""Semih Buz"",""Axel Unbehaun"",""Stephan Dreysse"",""Miralem Pasic"",""Marian Kukucka""}",917,872
277-80,"{""M P Reilly"",""S Kuchi"",""G Furness""}",918,873
41-7,"{""Salvatore Dimauro"",""Carolina Ionete"",""Hasan O Akman"",""Carmen Paradas"",""David E Jones"",""Michio Hirano"",""Peter N Riskind"",""Thomas W Smith"",""Heather Lau""}",919,874
471-3,"{""A Luciano"",""G Zoppi""}",920,875
,"{""Lowery M.""}",921,876
P435,"{""Thompson NC"",""Calverley PMA"",""Olsson H""}",922,877
131-134,"{""Zhao B.-X."",""Lao L."",""Shen X.-Y."",""Chen H.-Y.""}",923,878
248-54,"{""Delia Aguado"",""Javier Benito"",""Ignacio A G���_mez de Segura"",""Mariana Abreu"",""Javier Garc���_a-Fern����ndez""}",924,879
409-414,"{""J.-M. Zhao"",""O. Sjaastad""}",925,880
733-743,"{""Albert J.J.A.2 Scherpbier"",""Zahra1 Ladhani"",""Fred C.J.2 Stevens""}",926,881
18-Nov,"{""Goveia M.G."",""Block S.L."",""Rivers S.B."",""Dallas M.J."",""Bauder J."",""Adeyi B.A."",""Vesikari T."",""Heaton P.M."",""Boslego J.W.""}",927,882
20-4 ST  - Preferences and practices of Americans and their physicians in antihypertensive therapy-,"{""H. E. CN  - PubMed DA  - Dec 31 DP  - NLM ET  - 1986/12/31 Cotugno"",""Jr. Gallup, G.""}",928,883
e7,"{""D. A. Gould"",""J. McInerney"",""R. E. Harbaugh"",""J. D. Birkmeyer""}",929,884
141-8,"{""Felipe Serṛo de Souza"",""Ney Pecegueiro do Amaral"",""Carlos Henrique Mendes"",""Hilton Augusto Koch"",""Vincenzo Giordano"",""Andr̩ Bergamin""}",930,885
2607-18,"{""Chu Chen"",""Brian L Strom"",""Susan E McCann"",""Harvey A Risch"",""Lingeng Lu"",""Fulvio Ricceri"",""Immaculata De Vivo"",""Amanda B Spurdle"",""Susan E Hankinson"",""Pamela J Thompson"",""Catherine Schairer"",""Herbert Yu"",""Radhai Rastogi"",""Jennifer Doherty"",""Carlotta Sacerdote"",""Laurence N Kolonel"",""Mia M Gaudet"",""Kim Robien"",""Marc T Goodman"",""Piet A van den Brandt"",""Robert A Soslow"",""Jolanta Lissowska"",""Anthony B Miller"",""Kirsten B Moysich"",""Montserrat Garcia-Closas"",""Silvia Polidoro"",""Linda S Cook"",""Kristin E Anderson"",""Rayna K Matsuno"",""Xiao-ou Shu"",""Penelope M Webb"",""Kerry S Courneya"",""Christine M Friedenreich"",""Jo L Freudenheim"",""Yong-Bing Xiang"",""Brian E Henderson"",""Galina Lurie"",""Leo J Schouten"",""Timothy R Rebbeck"",""Anthony M Magliocco"",""Malcolm C Pike"",""Leslie Bernstein"",""Hannah P Yang"",""[Collective Name] Australian National Endometrial Cancer Study Group"",""Sara H Olson"",""Pamela L Horn-Ross"",""Marjorie L McCullough"",""Hoda Anton-Culver"",""Noel S Weiss"",""James R Cerhan"",""Louise A Brinton"",""Alicja Wolk"",""Jennifer Prescott"",""Xiaolin Liang"",""Thomas E Rohan"",""Yikyung Park"",""Niclas H̴kansson"",""Veronica Wendy Setiawan"",""James V Lacey"",""Hui Cai"",""Nicolas Wentzensen"",""Koen van de Vijver""}",931,886
,{NULL},932,46
,{NULL},933,46
105-109,"{""P. F. White""}",934,887
2.05427E+015,"{""Mark H Wilson"",""Liza Chacko"",""Susan Hendrickson""}",935,888
454-60,"{""C. N. Sessler"",""K. Keane"",""M. J. Grap"",""D. Strickland"",""S. Lubin"",""R. Townes"",""P. Dalby"",""J. Emerson"",""L. Tormey"",""S. Winfield""}",936,889
570-4,"{""J. L. Grosfeld"",""S. Goto"",""G. P. Gardner"",""D. F. Canal"",""D. W. Vane""}",937,890
545-9,"{""E. Flores-Gomez"",""F. J. Basterra-Gortari"",""C. Sayon-Orea"",""M. A. Martinez-Gonzalez"",""A. Gea"",""M. Bes-Rastrollo""}",938,891
247-256 10p,"{""P. L. Ritter"",""K. Plant"",""D. D. Laurent"",""K. R. Lorig"",""A. Dost"",""I. McNeil""}",939,892
449-457,"{""Choi GS"",""Kim JH"",""Park HS"",""Ye YM"",""Kim SH"",""Kim JE"",""Jin HJ""}",940,893
S25-7,"{""E. Idrizovic"",""A. Odobasic"",""L. Dedic"",""A. Pasic"",""M. Dervisefendic"",""E. Iljazovic-Latifagic"",""A. Odobasic"",""L. Arnautalic""}",941,894
300-306,"{""Periyanayagam U."",""Pang P.S."",""Kiraly A."",""Lyden A."",""Chan J.""}",942,895
446-55,"{""Verena Klusmann"",""Isabella Heuser"",""Andrea Evers"",""Ralf Schwarzer""}",943,896
134-44,"{""Woo Young Park"",""Do Jin Lee"",""Jong Sir Lim"",""Jong Soo Heo"",""Jeoung Yoon Seo"",""Ronald D. DeLaune"",""Ju Sik Cho""}",944,897
488-96,"{""H. Cavusoglu"",""T. Cansever"",""A. Yilmaz"",""Y. Aydin"",""H. A. Genc"",""A. M. Musluman"",""I. Colak""}",945,898
449-455,"{""Ann J. Turner"",""David H. L. Olson"",""Carole Y. Schornagel"",""Mary Halsdorf"",""Elaine A. Blechman""}",946,899
,{NULL},947,46
,{NULL},948,46
261-270 ST  - Are stretches effective in the prevention and treatment of glenohumeral internal rotation deficit?-,"{""Stuart Calver"",""Julia Nichols"",""Rachel C1  - Fr̴n systematiska ̦versikter -șkningen CN  - Cinahl DB  - c8h DO  - 10.1179/1743288X12Y.0000000021 DP  - EBSCOhost Chester""}",949,900
e109114,"{""Abdul Basit Baba"",""J Kowshik"",""G Deepak Reddy"",""Hemant Giri"",""Madhulika Dixit"",""Siddavaram Nagini""}",950,901
677-680,"{""P. Azevedo"",""A. Vaz-Carneiro"",""J. Costa""}",951,902
159-166,"{""Ana Paula de Lima Ferreira"",""Marcelo de Souza Figueiroa"",""B��rbara Bernardo Rinaldo da Silva"",""K��tia Roberta Rap̫so Sales Lacerda""}",952,903
791-9,"{""M F Jumean"",""P J Erwin"",""V M Montori"",""F Lopez-Jimenez"",""A Romero-Corral"",""V K Somers"",""D O Okorodudu""}",953,904
720-6,"{""T. R. Kosten"",""L. Y. Zhao"",""D. H. Epstein"",""L. Lu"",""J. Shi"",""X. Y. Zhang"",""Y. Liu"",""X. L. Zhang""}",954,905
225-263,"{""Eikelboom J.W."",""Hirsh J.""}",955,906
323-333,"{""So Young Lee"",""Jay L. Brand""}",956,907
574-84,"{""Bradley S Marino""}",957,908
179-186,"{""R Fernandez"",""J Rello"",""N Bonsoms"",""A Artigas"",""J Mestre"",""F Baigorri"",""L Blanch"",""D Fontanals"",""J Valles""}",958,909
703,"{""Althaf Ansary""}",959,910
1943-1946,"{""A. Taylor"",""L. Maxwell"",""V. Strand"",""K. Phillips"",""P. S. Tugwell"",""U. Kaiser"",""M. de Wit"",""L. Gossec"",""J. A. Singh"",""E. H. Choy"",""L. S. Simon"",""R. Ostelo"",""P. J. Mease"",""P. G. Conaghan""}",960,911
546-8,"{""Won Ki Min"",""Soon Bae Kim"",""Su Hee Kim"",""Jai Won Chang"",""Hyun Sook Chi"",""Eun Kyoung Lee""}",961,912
iii-vii,{NULL},962,913
701-707,"{""H. O. Lobel"",""P. E. Kozarsky""}",963,914
,"{""Taylor MJ Arsalidou M, Pascual-Leone J, Johnson J, Morris D""}",964,915
1270-7,"{""David Binns"",""Robert E Ware"",""Damian E Myers"",""Marie-Claude Gregoire"",""Eddie W Lau"",""Lucy Vivash"",""Terence J O'Brien"",""Viviane Bouilleret"",""Mark J Cook"",""Rodney J Hicks"",""Peter Roselt""}",965,916
693-9,"{""B Kramp"",""J Ostwald"",""S Dommerich"",""Claudia Nischan""}",966,917
556-65,"{""Montserrat Bacardi-Gascon"",""Arturo Jimenez-Cruz"",""Lidia M. Castaneda-Gonzalez""}",967,918
104-7; discussion 108,"{""P Czernichow"",""K Albertsson-Wikland"",""R Gunnarsson"",""T Tuvemo""}",968,919
103-119,"{""J.P. Toombs"",""M.S. Bauer"",""W.R. Widmer"",""A.R. Blight""}",969,920
68-75,"{""M. Sinaki""}",970,921
25-33,"{""S. Kita"",""J. R. McIntosh"",""M. Osumi"",""T. Kamasaki"",""G. Goshima"",""E. O'Toole"",""J. Usukura""}",971,922
11-Sep,"{""Charles Hennekens""}",972,923
1159-73,"{""Chunlin Liu"",""Wen-Hui Shen"",""Ying Ruan"",""Dong-Hong Chen"",""Yong Huang""}",973,924
513-6,"{""Catherine Mays"",""Rajesh Ramanathan"",""Dale Harvey"",""Gregory Stockslager"",""Therese M Duane"",""Patricia Leavell""}",974,925
71-7,"{""Kerstin Landin-Wilhelmsen"",""G̦ran Oler̦d"",""Oskar Ragnarsson"",""Penelope Trimpou""}",975,926
,{NULL},976,46
iii35-44,"{""Matthew S Dryden""}",977,927
,"{""A. Amemiya"",""C. R. Dolan"",""H. H. Ardinger"",""C. T. Fong"",""S. E. Wallace"",""T. D. Bird"",""K. Stephens"",""R. J. H. Smith"",""M. P. Adam"",""E. C. Delot"",""L. J. H. Bean"",""E. J. Vilain"",""R. A. Pagon""}",978,928
3017-28,"{""Michela Miani"",""Decio L Eizirik"",""Laurence Ladri̬re"",""Maikel L Colli"",""Miriam Cnop""}",979,929
74570A-74570A-9,"{""A. Hueni"",""Paul E. Kneubuehler, M.     ED  - Shen, Sylvia S.     ED  - Lewis""}",980,930
240-54,"{""D. W. Branch""}",981,931
i48-55,"{""A. M. Navar"",""N. A. Halsey"",""C. R. Sudfeld""}",982,932
295-301,"{""Z Hofman"",""L H Nelissen"",""M A Vermeeren"",""A van Lier"",""E F Wouters"",""A M Schols""}",983,933
S331-,"{""A. Filipovich"",""M. Jordan"",""S. Davies"",""R. Marsh"",""P. Khandelwal"",""M. Grimley"",""S. Chandra"",""A. Kumar"",""S. Jodele"",""P.A. Mehta"",""K. Myers"",""J. Bleesing""}",984,934
728-730-,"{""Hawkey C."",""Gorbutt N."",""Guiblin H."",""Kong A."",""Beattie A."",""Curran J."",""Kamath B.""}",985,935
2371-8,"{""M. Brandon"",""M. J. Dowzicky""}",986,936
617-23,"{""C. Gruppi"",""C. Medeiros"",""C. D. Frimm"",""M. Curi"",""E. Krieger"",""B. Trezza""}",987,937
63-66,"{""A. H. Samarkandi""}",988,938
833-9,"{""Kentaro Chino"",""Hideyuki Takahashi"",""Ryota Akagi"",""Michiko Dohi""}",989,939
1343S-1353S,"{""R. P. Troiano"",""M. D. Carroll"",""R. R. Briefel"",""K. Bialostosky""}",990,940
1147-60,"{""[Collective Name] American Thoracic Society Respiratory Impairment and Disability Evaluation Group"",""Philip Harber"",""Margaret C Haggerty"",""Christopher G Slatore""}",991,941
3917-31,"{""Xuejun Chen"",""Yang Zhang"",""Zufei Li"",""Qi Zhong"",""Weiguo Zhou"",""Xiaohong Chen"",""Zhigang Huang"",""Jugao Fang""}",992,942
141-149,"{""Danielle Duggan"",""J. Mark G. Williams"",""Isabelle Rudolf von Rohr"",""Catherine Crane"",""Adele Krusche"",""Kate Muse""}",993,943
374-8,"{""John F Fraser"",""Kelvin L Choo"",""Roy M Kimble""}",994,944
297-301,"{""S. L. Lee"",""G. K. Sluis-Cremer"",""P. A. Hessel""}",995,945
33501,"{""E. V. Kumpyak"",""V. N. Kiselev"",""A. V. Kharlov"",""V. V. Chupin"",""A. V. Morozov"",""B. M. Kovalchuk"",""V. B. Zorin""}",996,946
,"{""Katharine O'Dell"",""Padma Kandadai"",""Jyot Saini""}",997,947
1219-1220,"{""M. Heuer"",""S. Radunz"",""A. Paul"",""G. C. Sotiropoulos"",""Z. Mathe"",""T. Trarbach"",""H. A. Baba""}",998,948
71-80,"{""S. Iannazzo"",""M. Miravitlles"",""L. Pradelli"",""O. Zaniolo""}",999,949
